央视一套,#genre#
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
卫视一套,#genre#

东南卫视,http://125.210.152.18:9090/live/DNWSHD_H265.m3u8

东方卫视,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
东方卫视,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=002&Provider_id=&Pcontent_id=index.m3u8
东方卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=001&Provider_id=&Pcontent_id=index.m3u8
东方卫视,http://121.31.30.91:8081/ysten-business/live/hddongfangstv/1.m3u8
东方卫视,http://125.210.152.18:9090/live/DFWSHD_H265.m3u8

北京卫视,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
北京卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=003&Provider_id=&Pcontent_id=index.m3u8
北京卫视,http://121.31.30.91:8081/ysten-business/live/hdbeijingstv/1.m3u8
北京卫视,http://125.210.152.18:9090/live/BJWSHD_H265.m3u8

四川卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=000&Provider_id=&Pcontent_id=index.m3u8
四川卫视,http://121.31.30.91:8081/ysten-business/live/sichuanstv/1.m3u8
四川卫视,http://125.210.152.18:9090/live/SCWSHD_H265.m3u8

天津卫视,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
天津卫视,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=004&Provider_id=&Pcontent_id=index.m3u8
天津卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=004&Provider_id=&Pcontent_id=index.m3u8
天津卫视,http://121.31.30.91:8081/ysten-business/live/hdtianjinstv/1.m3u8
天津卫视,http://125.210.152.18:9090/live/TJWSHD_H265.m3u8

安徽卫视,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
安徽卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=008&Provider_id=&Pcontent_id=index.m3u8
安徽卫视,http://121.31.30.91:8081/ysten-business/live/anhuistv/1.m3u8
安徽卫视,http://125.210.152.18:9090/live/AHWSHD_H265.m3u8

山东卫视,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
山东卫视,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=005&Provider_id=&Pcontent_id=index.m3u8
山东卫视,http://121.31.30.91:8081/ysten-business/live/hdshandongstv/1.m3u8
山东卫视,http://125.210.152.18:9090/live/SDWSHD_H265.m3u8

江苏卫视,http://ivi.bupt.edu.cn/hls/jshd.m3u8
江苏卫视,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=001&Provider_id=&Pcontent_id=index.m3u8
江苏卫视,http://121.31.30.91:8081/ysten-business/live/hdjiangsustv/1.m3u8
江苏卫视,http://125.210.152.18:9090/live/JSWSHD_H265.m3u8

江西卫视,http://121.31.30.91:8081/ysten-business/live/jiangxistv/1.m3u8
江西卫视,http://125.210.152.18:9090/live/JXWSHD_H265.m3u8

浙江卫视,http://ivi.bupt.edu.cn/hls/zjhd.m3u8
浙江卫视,http://121.31.30.91:8081/ysten-business/live/hdzhejiangstv/1.m3u8
浙江卫视,http://125.210.152.18:9090/live/ZJWSHD_H265.m3u8

深圳卫视,http://ivi.bupt.edu.cn/hls/szhd.m3u8
深圳卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=002&Provider_id=&Pcontent_id=index.m3u8
深圳卫视,http://121.31.30.91:8081/ysten-business/live/hdshenzhenstv/1.m3u8
深圳卫视,http://125.210.152.18:9090/live/SZWSHD_H265.m3u8

湖北卫视,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
湖北卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=005&Provider_id=&Pcontent_id=index.m3u8
湖北卫视,http://121.31.30.91:8081/ysten-business/live/hubeistv/1.m3u8

湖南卫视,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
湖南卫视,http://121.31.30.91:8081/ysten-business/live/hdhunanstv/1.m3u8
湖南卫视,http://125.210.152.18:9090/live/HNWSHD_H265.m3u8

贵州卫视,http://121.31.30.91:8081/ysten-business/live/guizhoustv/1.m3u8
贵州卫视,http://125.210.152.18:9090/live/GZWSHD_H265.m3u8

重庆卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225904/1.m3u8
重庆卫视,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
重庆卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=012&Provider_id=&Pcontent_id=index.m3u8
重庆卫视,http://121.31.30.91:8081/ysten-business/live/chongqingstv/1.m3u8

黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
黑龙江卫视,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=006&Provider_id=&Pcontent_id=index.m3u8
黑龙江卫视,http://111.40.205.87/PLTV/88888888/224/3221225640/index.m3u8
黑龙江卫视,http://121.31.30.91:8081/ysten-business/live/hdheilongjiangstv/1.m3u8
黑龙江卫视,http://125.210.152.18:9090/live/HLJWSHD_H265.m3u8



陕西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8?
陕西卫视,http://112.17.40.140/PLTV/88888888/224/3221226177/index.m3u8
陕西卫视,http://121.31.30.91:8081/ysten-business/live/shanxi1stv/1.m3u8
厦门卫视,http://cstvpull.live.wscdns.com/live/xiamen.flv
厦门卫视,http://cstvpull.live.wscdns.com/live/xiamen4.flv
宁夏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225892/1.m3u8
宁夏卫视,http://121.31.30.91:8081/ysten-business/live/ningxiastv/1.m3u8
新疆卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8?
新疆卫视,http://121.31.30.91:8081/ysten-business/live/xinjiangstv/1.m3u8
西藏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
西藏卫视,http://121.31.30.91:8081/ysten-business/live/xizangstv/1.m3u8
内蒙古卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8?
内蒙古卫视,http://121.31.30.91:8081/ysten-business/live/neimenggustv/1.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hntv.m3u8
河南卫视,http://121.31.30.91:8081/ysten-business/live/henanstv/1.m3u8
河南卫视,http://125.210.152.18:9090/live/HNWSHD_H265.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
辽宁卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=018&Provider_id=&Pcontent_id=index.m3u8
辽宁卫视,http://121.31.30.91:8081/ysten-business/live/liaoningstv/1.m3u8
辽宁卫视,http://125.210.152.18:9090/live/LNWSHD_H265.m3u8
广东卫视FHD,http://111.40.205.87/PLTV/88888888/224/3221225736/index.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
广东卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=004&Provider_id=&Pcontent_id=index.m3u8
广东卫视,http://121.31.30.91:8081/ysten-business/live/hdguangdongstv/1.m3u8
广东卫视,http://125.210.152.18:9090/live/GDWSHD_H265.m3u8
北京文艺,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京纪实,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
云南卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=013&Provider_id=&Pcontent_id=index.m3u8
云南卫视,http://121.31.30.91:8081/ysten-business/live/yunnanstv/1.m3u8
广西卫视,http://121.31.30.91:8081/ysten-business/live/guangxistv/1.m3u8
河北卫视,http://121.31.30.91:8081/ysten-business/live/hebeistv/1.m3u8
河北卫视,http://125.210.152.18:9090/live/HBWSHD_H265.m3u8
山西卫视,http://121.31.30.91:8081/ysten-business/live/shanxistv/1.m3u8
青海卫视,http://121.31.30.91:8081/ysten-business/live/qinghaistv/1.m3u8
甘肃卫视,http://121.31.30.91:8081/ysten-business/live/gansustv/1.m3u8
吉林卫视,http://121.31.30.91:8081/ysten-business/live/jilinstv/1.m3u8
吉林卫视,http://125.210.152.18:9090/live/JLWSHD_H265.m3u8
卫视二套,#genre#
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225727/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225705/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225736/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225737/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225658/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225615/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225621/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225637/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225622/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225623/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225636/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
爱我中华,#genre#
ViuTV,mitv://147.135.39.171:9906/5d9a2e7b000d28609cc0d68b68a05dd1.ts
ViuTVsix,mitv://147.135.39.171:9906/5d9a2e7c0000af799cc0d74673341867.ts
HBOHD,mitv://147.135.39.171:9906/5e59fae3000b3dac3b0c57342fd33ba0.ts
HBOSignat,mitv://147.135.39.171:9906/5eb3cc99000aa55e13ec5a6e1cb7093f.ts
HBOHits,mitv://147.135.39.171:9906/5eb3cc990005815c13ec59265dc86656.ts
TVB星河,mitv://147.135.39.171:9906/5ea53a9a000d39fddb01fd3f19aa567e.ts
卫视卡式,mitv://147.135.39.171:9906/5ec62ecd0005c21e5bbc173f4d127405.ts
卫视西片,mitv://147.135.39.171:9906/5ea1e2fc000b1e57cdf3a933489b3aee.ts#mitv://147.135.39.171:9906/5e7cf2710006c39d3da7c01341645170.ts
卫视中文台,mitv://147.135.39.171:9906/5defdaa1000b1a3d6ea06a9c17f77c44.ts
卫视电影,mitv://147.135.39.171:9906/5ec628ed000d69cb5ba526333d1a1d98.ts
有线电影,mitv://147.135.39.171:9906/5f15d56b0009f5ef1490e1e012d438e5.ts
龙祥电影,mitv://147.135.39.171:9906/5e7cf98e000cd16b3dc38ae278e073ec.ts
卫视電影,mitv://147.135.39.171:9906/5d9a250b000845289c9bf7d246ac3362.ts
星卫電影,mitv://147.135.39.171:9906/5e9b4b1300069e38b43241e231037404.ts
凤凰电影,mitv://147.135.39.171:9906/5e9b4e750002f3b7b43f77c81486506f.ts
美亚电影,p8p://user3.shusongw.mobi:16871/5f37cca000079b3d4270803e898f13d3#mitv://147.135.39.171:9906/5e7cf98e00020cab3dc388220eeb0f7e.ts
好萊塢電影,mitv://147.135.39.171:9906/5e7cf98e0006ee193dc3896b4e817161.ts
福斯動作電影,mitv://147.135.39.171:9906/5ea13fe100005a81cb7684fc6e2766c4.ts
福斯優質影院,mitv://147.135.39.171:9906/5ea13bb0000c242fcb66289275e41d0b.ts
福斯家庭影院,mitv://147.135.39.171:9906/5d9a33bb000a299f9cd557cf4d121c23.ts
福斯犯罪影院,mitv://147.135.39.171:9906/5ea13bb10001df6fcb6629da1a076a80.ts
国家地理频道悠人,mitv://147.135.39.171:9906/5ea1441e000473decb87144e4b600a26.ts
国家地理频道野生,mitv://147.135.39.171:9906/5ea13fdf000c8069cb7680495d882a82.ts
国家地理频道,mitv://147.135.39.171:9906/5ea13fdf0004d36ecb767e555c896a66.ts
探索動力频道,mitv://147.135.39.171:9906/5e9b4b11000d8f76b4323bd8404c1e97.ts
探索频道亞洲,mitv://147.135.39.171:9906/5ea13bb1000a50e9cb662c0c47e9549f.ts
探索科學频道,mitv://147.135.39.171:9906/5ea13fe1000b88c3cb7687db43d01a4a.ts
動物星球,mitv://147.135.39.171:9906/5ea13bb00003dd3ccb66267f33fc00d1.ts
探索頻道,mitv://147.135.39.171:9906/5ea13fde000ec14fcb767cee2fe05289.ts
MTV音乐,mitv://147.135.39.171:9906/5e975a500008d0a0a4cdb69671c34c21.ts
爱我二区,#genre#
MTV音乐,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=202&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
MTV音乐,http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/index_3500_av-b.m3u8
HBO2台,http://161.0.157.5/PLTV/88888888/224/3221227026/03.m3u8？fluxustv.m3u8
亞洲影院,http://101.71.255.229:6610/zjhs/2/10052/z.m3u8?ZTEUPSTREAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10052&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=C3V7K4ET1VFDUJY6C1IASRV55G66&ts=1553493153
日本NHK华语,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
日本NHK华语,https://nhkw-zh-hlscomp.akamaized.net/ixxemlzk1vqvy44o/playlist.m3u8
日本天気预报,http://movie.mcas.jp/mcas/wn1_2/master.m3u8
日本NHK英语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp/index_1M.m3u8
日本Japan News 24,http://www.news24.jp/livestream/index.m3u8
日本JapanetChannelDX,http://bcsecurelivehls-i.akamaihd.net/hls/live/265320/5043843989001/140130JTDX/index_1200.m3u8
日本QVC Japan,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8
韩国EBS 第一频道,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩国EBS 少儿频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
韩国KCTV,http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8
朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国KOREA YTN,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8
韩国KTV 韩国电视,http://218.38.152.31:1935/klive/klive.stream/playlist.m3u8
韩国EBS 儿童频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩国阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
Luxury World,http://nano.teleservice.su:8080/hls/luxury.m3u8
韩国BBS佛教广播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
韩国阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
CPAC,http://bcoveliveios-i.akamaihd.net/hls/live/248519/1242843915001_1/master.m3u8
狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
FOX 体育新闻,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master1280x720.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
越南人民报,http://vietcago.net/vstv/thnd.m3u8
印度音乐电视,http://104.237.60.234/live/gabruutv.m3u8?dsjtv.m3u8
法国第五世界台,http://v3plusinfo247hls-i.akamaihd.net/hls/live/218877-b/v3plusinfo247hls/v3plusinfo247hls_1_1.m3u8
法国24台 (英语),http://f24hls-i.akamaihd.net/hls/live/221193-b/F24_EN_LO_HLS/master_900.m3u8
法国24台 (法语),http://f24hls-i.akamaihd.net/hls/live/221192/F24_FR_LO_HLS/master_900.m3u8
俄罗斯时尚频道,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
西班牙皇马足球,http://rmtv24hweblive-lh.akamaihd.net/i/rmtv24hwebes_1@300661/index_3_av-p.m3u8
西班牙中国环球,http://livees.cgtn.com/1000e/prog_index.m3u8
意大利意大利电台,http://radioitaliatv-lh.akamaihd.net/i/radioitaliatv_1@329645/index_720x480_av-p.m3u8
意大利V2 音乐频道,http://de1se01.v2beat.live/playlist.m3u8
墨西哥墨西哥电视,http://bcoveliveios-i.akamaihd.net/hls/live/201661/57828478001/milenio_center_512k@51752.m3u8
音乐20TV,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-p.m3u8
WSVI-TV,http://dcunilive30-lh.akamaihd.net/i/dclive_1@534251/master.m3u8?fluxustv.m3u8
酷酷频道,http://edge1.tikilive.com:1935/unrestricted_tikilive/25947/amlst:NWKlw6jwyXpz/chunklist_w981409619_b1105254.m3u8?fluxustv.m3u8
NBC电视,http://161.0.157.51/PLTV/88888888/224/3221227040/index.m3u8?fluxustv.m3u8
Jewelry电视,http://wowzaprod134-i.akamaihd.net/hls/live/577814/ccddaf02/playlist.m3u8
Free电视,https://edge.free-speech-tv-live.top.comcast.net/out/u/fstv.m3u8
Darcizzle电视,http://30a-tv.com/darcizzle.m3u8
Docurama电视,https://cinedigm.vo.llnwd.net/conssui/amagi_hls_data_xumo1234A-docuramaA/CDN/master.m3u8
Music电视,https://cmctv.ios.internapcdn.net/cmctv_vitalstream_com/live_1/CMC-TV/master.m3u8?fluxustv.m3u8
CBS新闻,http://cbsnewshd-lh.akamaihd.net/i/CBSN_7@199302/master.m3u8
CON电视,https://cinedigm.vo.llnwd.net/conssui/amagi_hls_data_xumo123-contv/CDN/master.m3u8
Dance电视,https://vcndstv.teleosmedia.com/stream/dstv/dstv/seglist_720p.m3u8
劲爆体育,http://liveplay-kk.rtxapp.com/live/program/live/jbtyhd/4000000/mnf.m3u8
新视觉,http://liveplay-kk.rtxapp.com/live/program/live/xsjhd/4000000/mnf.m3u8
魅力足球,http://liveplay-kk.rtxapp.com/live/program/live/mlyyhd/4000000/mnf.m3u8
ELTA体育1,http://v3948069e.live.126.net/live/33f831b6d6ab600835b1c7d0fa72014b.flv
ELTA体育2,http://v3948069e.live.126.net/live/2a3bbb276964b4261b095fb7daaa7abf.flv
SuperSport2,http://v3948069e.live.126.net/live/bf3b66dee5-cdbf3b66dee5-f5f07b1b4e1fe8f8e4e2730d0e56abcc-A-0-1.flv
BeinSportsNBA,http://v3948069e.live.126.net/live/b98993360c-25b98993360c-4bea2856eaee560c2d28dd57f41091ec-A-0-1.flv
WWENETWORK,http://v3948069e.live.126.net/live/a8702ab7eb-f9a8702ab7eb-2c7dd49999f51341fa5704dd224203c0-A-0-1.flv
BBCNews,https://playks.shangzhibo.tv/live/fc9fac06fb-4bfc9fac06fb-2828fb988980c34d4d2fb79514213cd0-A-0-1.flv
SkyNews,https://playks.shangzhibo.tv/live/f7566e64b8-96f7566e64b8-863e1f3ccad8005311838e9ffeb50b40-A-0-1.flv
CNBC,https://playks.shangzhibo.tv/live/2c7f197813-c82c7f197813-b5e956b54a31984966a93764289b8e1b-A-0-1.flv
RT,https://playks.shangzhibo.tv/live/15d1d56c3f-2015d1d56c3f-52686acde037bec9bb9cc163e7175bfb-A-0-1.flv
TRTWorld,https://playks.shangzhibo.tv/live/4d8030be7e-ab4d8030be7e-5b6956225935097a07379fc05e53ccc8-A-0-1.flv
CNA,https://playks.shangzhibo.tv/live/e97453bf14-4de97453bf14-f91cf9694e0cd954db85e2f696c9c250-A-0-1.flv
FRANCE24,https://playks.shangzhibo.tv/live/8c3424f87f-588c3424f87f-ba08636120b00132033023e7513d31c7-A-0-1.flv
AlJazeera,https://playks.shangzhibo.tv/live/fc18de5e83-79fc18de5e83-a83cfe4c76440e1a01e9163a6f4ffdd1-A-0-1.flv
MTV综合,http://v3948069e.live.126.net/live/ed27dba64eae6f2d4d6764d22dbed8cd.flv
EYE旅游,http://v3948069e.live.126.net/live/4b9c05c9c46e6206a3be3bf73398fe53.flv
EYE戏剧,http://v3948069e.live.126.net/live/f08f7b78d0a56f9392667e9c9751eb15.flv
ELTV英语,http://v3948069e.live.126.net/live/ae6ea26dffb8d86bd0bc83fd7b0eba50.flv
亚洲旅游,http://v3948069e.live.126.net/live/5ef8687b5f7960162e0f2b38ae2212f2.flv
韩国娱乐,http://v3948069e.live.126.net/live/ec02c33498101f0e15b19e763703d315.flv
动物星球,http://v3948069e.live.126.net/live/5a61225d314765c8eae1fa8a969012b3.flv
达文西频道,http://v3948069e.live.126.net/live/1789da1a45d8ebb3bbf12bb5e03af514.flv
国家地理野生,http://v3948069e.live.126.net/live/05e2fc6ddebe0819e66089559dc40377.flv
探索科学,http://v3948069e.live.126.net/live/d8b5f65d222fcba751d9e8478eb49754.flv
